facility_name,cms_certification_number_ccn,alternate_ccn,address,city,state,zip_code,network,longterm_catheter_achievement_measure_rate,standardized_fistula_achievement_measure_rate,vascular_access_combined_measure_score,ktv_comprehensive_achievement_measure_rate,hypercalcemia_achievement_measure_rate,nhsn_bsi_achievement_measure_ratio,nhsn_dialysis_event_reporting_measure_score,ich_cahps_neph_comm_and_caring_achievement_rate,ich_cahps_quality_of_dialysis_care_and_ops_achievement_rate,ich_cahps_providing_info_to_patients_achievement_rate,ich_cahps_overall_rating_of_neph_achievement_rate,ich_cahps_overall_rating_of_dialysis_staff_achievement_rate,ich_cahps_overall_rating_of_dialysis_facility_achievement_rate,standardized_readmission_ratio_srr_measure_score,srr_achievement_measure_ratio,strr_achievement_measure_ratio,standardized_hospitalization_ratio_shr_measure_score,shr_achievement_measure_ratio,clinical_depression_screening_and_followup_measure_score,ultrafiltration_measure_score,total_performance_score,py2021_payment_reduction_percentage
"Fresenius Medical Care CNA Kidney Centers, LLC",422651,-,"140 HIGHLAND CENTER DRIVE",COLUMBIA,SC,29203,6,4.33%,63.93%,8,95.78%,0.00%,0.203,10,75.57%,44.78%,70.20%,62.06%,47.34%,55.39%,6,0.912,1.353,8,0.787,10,1,59,0.00%
"Fresenius Medical Care CNA Kidney Centers, LLC",422671,-,"1000 RAMBLIN ROAD","WEST COLUMBIA",SC,29172,6,7.82%,57.31%,6,94.93%,0.80%,0.329,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.139,1.9,3,1.06,10,4,44,1.00%
"Fresenius Medical Care CNA Kidney Centers, LLC",422677,-,"5301 HIGHWAY 321",Gaston,SC,29053,6,0.00%,68.75%,9,97.07%,0.00%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate",10,0.384,"No Score","No Score",90,0.00%
"FRESENIUS MEDICAL CARE COLLEGE PARK",112750,-,"2545 SULLIVAN ROAD","COLLEGE PARK",GA,30337,6,14.09%,57.54%,4,98.10%,0.62%,0.283,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,0.993,1.148,0,1.251,9,0,48,0.50%
"FRESENIUS MEDICAL CARE COLUMBIA",422504,-,"2125 ADAMS GROVE RD",COLUMBIA,SC,29203,6,11.68%,54.89%,4,95.66%,1.21%,0.588,10,62.63%,52.94%,74.71%,40.58%,40.42%,44.49%,5,0.951,2.453,6,0.88,10,0,40,1.00%
"Fresenius Medical Care Columbia Franklin, LLC",442757,-,"8048 STATION HILL DR","SPRING HILL",TN,37174,8,"No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate","No Score","No Score","No Score",0.00%
"Fresenius Medical Care Columbia Home",422627,-,"121 PARK CENTRAL DR",COLUMBIA,SC,29203,6,20.20%,60.06%,2,83.54%,2.17%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.461,3.128,6,0.922,10,"No Score",41,1.00%
"Fresenius Medical Care Coosa River, LLC",012705,-,"708 S 4TH ST",Gadsden,AL,35901,8,0.00%,73.28%,10,98.58%,"No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate","No Score","No Score","No Score",0.00%
"FRESENIUS MEDICAL CARE CORSICANA",452553,-,"1321 W 2ND AVE",CORSICANA,TX,75110,14,4.71%,76.54%,10,97.68%,0.43%,0,10,68.22%,63.08%,74.44%,72.78%,67.53%,72.75%,3,1.1,1.519,6,0.88,10,7,64,0.00%
"FRESENIUS MEDICAL CARE DAKOTA DUNES, LLC",432516,-,"357 W TOWER RD","DAKOTA DUNES",SD,57049,11,11.41%,57.65%,5,99.09%,1.39%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.883,1.264,5,0.929,10,"No Score",56,0.00%
"Fresenius Medical Care Danvers",222588,-,"75 NEWBURY STREET",DANVERS,MA,01923,1,13.26%,77.44%,7,94.94%,2.73%,0.645,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.118,0.994,0,1.264,10,0,41,1.00%
"Fresenius Medical Care Deptford LLC",312641,-,"1689 DELSEA DRIVE",DEPTFORD,NJ,08096,3,7.73%,55.91%,5,99.15%,0.38%,0.242,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.141,2.608,2,1.171,10,6,52,0.50%
"Fresenius Medical Care Derby",172552,-,"712 KLEIN CIRCLE",DERBY,KS,67037,12,3.85%,76.77%,10,99.70%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.179,2.154,4,1.028,10,10,67,0.00%
"FRESENIUS MEDICAL CARE DESERT MILAGRO DIALYSIS CENTER",672627,-,"230 NORTH WASHINGTON AVE",ODESSA,TX,79761,14,4.79%,71.55%,9,98.46%,0.13%,0.583,10,57.11%,55.42%,75.32%,58.58%,58.25%,71.67%,6,0.865,0.585,5,0.966,10,6,66,0.00%
"Fresenius Medical Care Dialysis of Golden Isles",112797,-,"475 GATEWAY CENTER BLVD",BRUNSWICK,GA,31525,6,10.36%,71.85%,7,95.02%,0.84%,0.359,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.929,1.97,1,1.205,10,2,47,0.50%
"FRESENIUS MEDICAL CARE DILLON",422532,-,"1304 HIGHWAY 301 SOUTH",DILLON,SC,29536,6,5.51%,56.41%,6,96.85%,2.39%,0.796,10,52.39%,62.21%,79.02%,41.97%,51.01%,63.76%,2,1.154,1.193,0,1.258,10,3,37,1.00%
"FRESENIUS MEDICAL CARE - DODGEVILLE",522604,-,"800 COMPASSION WAY",DODGEVILLE,WI,53533,11,22.42%,71.76%,4,99.07%,0.23%,0.478,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.216,3.198,10,0.649,10,9,64,0.00%
"Fresenius Medical Care Dumfries",492697,-,"3671 FETTLER PARK DRIVE",DUMFRIES,VA,22025,5,11.24%,65.32%,6,99.11%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.742,0.528,3,1.094,10,9,77,0.00%
"FRESENIUS MEDICAL CARE EAGLE PASS",452541,-,"3065 MEGAN STREET","EAGLE PASS",TX,78852,14,16.98%,68.35%,5,97.77%,0.04%,0.504,10,59.89%,52.97%,78.51%,50.09%,60.26%,66.60%,7,0.81,0.627,7,0.805,10,0,58,0.00%
"Fresenius Medical Care East Fort Worth, LLC",452563,-,"1032 SANDY LANE","FORT WORTH",TX,76120,14,17.36%,46.97%,1,96.67%,0.71%,1.506,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.895,1.516,0,1.355,9,0,24,2.00%
"Fresenius Medical Care East Northampton County",342586,-,"121 NORTH CHURCH ST",CONWAY,NC,27820,6,15.16%,40.60%,2,97.65%,0.28%,0.429,10,76.16%,62.99%,86.60%,66.62%,74.14%,82.27%,10,0.593,0.752,10,0.47,10,5,74,0.00%
"FRESENIUS MEDICAL CARE EDINBURG KIDNEY CENTER",452767,-,"5406 SOUTH JACKSON ROAD",EDINBURG,TX,78539,14,15.54%,52.46%,2,96.55%,0.20%,0.486,10,66.59%,57.35%,78.51%,70.22%,70.28%,71.48%,3,1.093,1.322,0,1.431,10,1,40,1.00%
"Fresenius Medical Care Ella, LLC",672551,-,"1900 NORTH LOOP W STE 200",HOUSTON,TX,77018,14,17.00%,45.17%,1,63.28%,14.05%,0.088,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.95,1.096,2,1.162,10,0,31,1.50%
"Fresenius Medical Care Ella, LLC",672853,-,"2850 KIRBY DRIVE",PEARLAND,TX,77584,14,26.67%,26.28%,0,85.11%,21.30%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.884,"No Rate",6,0.931,10,0,35,1.50%
"FRESENIUS MEDICAL CARE EL PASO GATEWAY",452640,-,"10767 GATEWAY WEST - SUITE 600","EL PASO",TX,79935,14,1.66%,75.41%,10,95.47%,1.60%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.718,0.489,5,0.944,10,2,72,0.00%
"Fresenius Medical Care El Paso Transmountain, LLC",742518,-,"10112 DYER ST","El Paso",TX,79924,14,1.92%,87.07%,10,92.06%,0.98%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.012,"No Rate",3,1.058,10,9,54,0.50%
"Fresenius Medical Care Emerald Valley",382574,-,"350 Q STREET",SPRINGFIELD,OR,97477,16,11.50%,74.04%,8,96.77%,0.00%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.866,0.485,6,0.902,10,"No Score",73,0.00%
"FRESENIUS MEDICAL CARE ENNIS",452582,-,"711 B SOUTH CLAY STREET",ENNIS,TX,75119,14,3.45%,60.51%,7,99.09%,0.18%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.166,1.304,4,1.008,10,7,63,0.00%
"FRESENIUS MEDICAL CARE ESSEX DUNDALK, LLC",212676,-,"110 STEMMERS RUN RD",ESSEX,MD,21221,5,10.34%,72.14%,7,98.85%,0.09%,0.819,10,74.61%,70.59%,74.87%,63.33%,71.85%,74.73%,3,1.071,0.986,7,0.808,10,2,61,0.00%
"FRESENIUS MEDICAL CARE EVANS",112793,-,"696 INDUSTRIAL PARK DR",EVANS,GA,30809,6,13.14%,55.71%,3,94.25%,1.16%,1.022,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.817,1.184,3,1.085,10,0,43,1.00%
"FRESENIUS MEDICAL CARE FAIRFIELD COUNTY",422581,-,"1126 HWY 321 BUSINESS SOUTH STE A",WINNSBORO,SC,29180,6,3.72%,43.86%,5,97.97%,0.00%,0.322,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.832,1.281,10,0.552,10,4,73,0.00%
"FRESENIUS MEDICAL CARE FALFURRIAS",672584,-,"720 NORTH SAINT MARYS STREET",FALFURRIAS,TX,78355,14,18.72%,62.51%,3,96.13%,0.16%,0.702,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.062,1.391,9,0.673,10,1,52,0.50%
"Fresenius Medical Care Farmville",342706,-,"4302 S. MAIN STREET",FARMVILLE,NC,27828,6,18.32%,49.15%,1,96.45%,1.03%,0.513,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.573,0.942,7,0.859,10,7,65,0.00%
"FRESENIUS MEDICAL CARE FONDREN",452560,-,"7011 REGENCY SQUARE BLVD",HOUSTON,TX,77036,14,18.79%,64.23%,3,97.79%,0.09%,0.832,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.258,0.351,1,1.211,10,1,46,0.50%
"Fresenius Medical Care Fort Lawn",422621,-,"5707 WILLOWBROOK ST","FORT LAWN",SC,29714,6,11.91%,65.78%,6,95.48%,2.95%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.66,0.802,3,1.068,10,3,66,0.00%
"Fresenius Medical Care Framingham",222504,-,"110 MT. WAYTE AVE.",FRAMINGHAM,MA,01702,1,13.16%,67.94%,6,98.92%,1.05%,0.224,10,69.00%,68.21%,82.04%,64.15%,71.03%,78.09%,3,1.108,1.19,7,0.845,10,4,62,0.00%
"FRESENIUS MEDICAL CARE FRESNO, LLC",552820,-,"1899 NORTH HELM AVE SUITE 101",FRESNO,CA,93727,17,21.68%,65.97%,3,95.00%,1.14%,0.483,10,56.66%,60.71%,86.34%,56.05%,63.27%,77.84%,6,0.843,0.576,4,1.028,10,0,55,0.50%
"FRESENIUS MEDICAL CARE  FT WORTH PARKWAY",672568,-,"6551 HARRIS PARKWAY - SUITE 115 A","FORT WORTH",TX,76132,14,27.15%,44.12%,0,93.51%,0.45%,0.309,10,64.15%,58.33%,74.67%,55.22%,60.91%,60.26%,4,1.019,1.241,3,1.09,10,2,38,1.00%
"FRESENIUS MEDICAL CARE GAINESVILLE",112634,-,"1856 THOMPSON BRIDGE ROAD - SUITE 101",GAINESVILLE,GA,30501,6,15.13%,62.69%,4,96.92%,0.24%,0,10,62.20%,55.78%,80.04%,61.12%,54.48%,71.08%,5,0.921,0,5,0.949,10,3,61,0.00%
"FRESENIUS MEDICAL CARE GASTONIA",342513,-,"348 BURTONWOOD DR",GASTONIA,NC,28054,6,12.51%,57.88%,4,96.37%,0.52%,0.583,10,66.76%,58.74%,75.24%,57.08%,56.44%,65.65%,5,0.966,0.284,6,0.9,10,0,54,0.50%
"Fresenius Medical Care Goodlettsville, LLC",442752,-,"740 CONFERENCE DR",GOODLETTSVILLE,TN,37072,8,12.72%,73.52%,7,98.59%,0.00%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.25,"No Rate",2,1.146,10,7,57,0.00%
"FRESENIUS MEDICAL CARE GRAHAM",672684,-,"1531 HIGHWAY 380 BYPASS",GRAHAM,TX,76450,14,14.51%,67.60%,6,94.99%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.831,1.284,6,0.914,10,4,65,0.00%
"Fresenius Medical Care Granbury LLC",452805,-,"1030 E. HWY. 377 - STE. 128",GRANBURY,TX,76048,14,14.99%,64.86%,5,98.09%,0.10%,0.395,10,65.98%,64.51%,78.56%,61.11%,71.51%,73.48%,8,0.77,1.638,7,0.851,10,6,65,0.00%
"FRESENIUS MEDICAL CARE GRAND PRAIRIE",672633,-,"825 DALWORTH STREET","GRAND PRAIRIE",TX,75050,14,9.49%,64.73%,6,99.03%,1.24%,0.996,10,61.02%,63.95%,72.13%,47.53%,58.46%,58.58%,6,0.887,0.958,5,0.965,10,2,52,0.50%
"FRESENIUS MEDICAL CARE HABERSHAM",112800,-,"735 N HISTORIC HWY 441",DEMOREST,GA,30535,6,10.97%,65.78%,6,98.04%,0.00%,0.211,10,70.77%,70.06%,89.16%,61.37%,76.87%,82.74%,0,1.485,0.155,4,0.997,10,5,63,0.00%
"Fresenius Medical Care Hackensack",312626,-,"458 PASSAIC STREET",HACKENSACK,NJ,07601,3,6.32%,70.42%,9,98.35%,0.09%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.744,0.563,10,0.664,10,9,89,0.00%
"FRESENIUS MEDICAL CARE HALL COUNTY",112621,-,"1492 JESSE JEWELL PKWY SE",GAINESVILLE,GA,30501,6,13.06%,61.62%,5,96.89%,0.71%,0.345,10,80.86%,67.07%,77.09%,85.15%,71.24%,82.07%,2,1.172,0.318,2,1.174,10,7,58,0.00%
"FRESENIUS MEDICAL CARE HARKER HEIGHTS",672766,-,"625 W CENTRAL TEXAS EXPRESSWAY","HARKER HEIGHTS",TX,76548,14,10.61%,74.03%,8,97.42%,1.25%,0.433,10,63.07%,57.95%,82.61%,65.04%,61.69%,69.44%,6,0.895,1.102,6,0.9,10,0,58,0.00%
"FRESENIUS MEDICAL CARE - HASTINGS",232683,-,"1230 W STATE ST STE C",HASTINGS,MI,49058,11,7.55%,77.37%,9,98.81%,0.20%,0.73,10,66.40%,68.50%,87.75%,61.04%,69.40%,71.79%,7,0.817,0.688,5,0.94,10,7,73,0.00%
"FRESENIUS MEDICAL CARE HENDERSON COUNTY",452812,-,"1220 S PALESTINE STREET",ATHENS,TX,75751,14,3.60%,58.76%,7,95.78%,0.39%,0.598,10,64.51%,56.35%,78.05%,43.30%,52.26%,63.31%,1,1.239,0.564,1,1.201,10,1,42,1.00%
"FRESENIUS MEDICAL CARE HENRY COUNTY",112659,-,"1365 ROCK QUARRY ROAD, ST 100",STOCKBRIDGE,GA,30281,6,8.44%,62.26%,7,94.79%,0.81%,0.724,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.44,0.097,5,0.981,10,0,53,0.50%
"Fresenius Medical Care Hephzibah",112613,-,"3801 WOODLAKE DRIVE",HEPHZIBAH,GA,30815,6,8.27%,55.42%,5,98.84%,0.50%,0.259,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.587,0.176,8,0.76,10,5,82,0.00%
"FRESENIUS MEDICAL CARE HEREFORD",452660,-,"533 N 25 MILE AVE STE A",HEREFORD,TX,79045,14,9.95%,61.37%,6,98.74%,1.26%,0,10,57.80%,58.89%,71.26%,45.45%,59.96%,70.48%,3,1.118,0.407,9,0.705,10,1,62,0.00%
"FRESENIUS MEDICAL CARE HIGHLANDS",112737,-,"2700 HIGHLANDS PARKWAY STE A",SMYRNA,GA,30082,6,8.69%,68.24%,7,93.24%,1.77%,0.383,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.499,1.017,0,1.328,10,0,36,1.00%
"Fresenius Medical Care - High Point",342720,-,"1320 EASTCHESTER DRIVE","HIGH POINT",NC,27265,6,17.91%,68.80%,4,96.94%,0.51%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.629,1.243,5,0.939,10,9,71,0.00%
"FRESENIUS MEDICAL CARE HIRAM",112830,-,"3919 ATLANTA HIGHWAY",HIRAM,GA,30141,6,8.46%,70.20%,8,99.16%,0.47%,0.222,10,73.36%,71.41%,78.90%,75.97%,81.33%,90.74%,5,0.919,0.778,2,1.155,10,6,67,0.00%
"FRESENIUS MEDICAL CARE HONEYCREEK DIALYSIS, LLC",112599,-,"1285 WELLBROOK CIRCLE",CONYERS,GA,30012,6,7.95%,67.82%,8,94.98%,1.09%,1.635,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.069,0.435,6,0.864,10,7,57,0.00%
"FRESENIUS MEDICAL CARE HONEYCREEK DIALYSIS, LLC",112712,-,"11415 BROWN BRIDGE ROAD",COVINGTON,GA,30016,6,9.53%,72.38%,8,97.41%,0.00%,0.776,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.921,1.117,5,0.934,10,6,64,0.00%
"FRESENIUS MEDICAL CARE HORIZON DIALYSIS",672573,-,"12245 ROJAS DRIVE","EL PASO",TX,79936,14,3.56%,84.96%,10,98.44%,0.14%,0.594,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.781,0.394,0,1.367,10,3,66,0.00%
"FRESENIUS MEDICAL CARE HOUSTON HOME LLC",672562,-,"9001 KIRBY DRIVE",Houston,TX,77054,14,"No Rate","No Rate","No Score",93.81%,1.79%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.201,2.131,0,1.716,10,"No Score",20,2.00%
"Fresenius Medical Care Huntsville Home, LLC",012671,-,"2325 PANSY STREET",HUNTSVILLE,AL,35801,8,4.43%,80.10%,10,99.55%,0.09%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.076,2.518,2,1.147,10,"No Score",55,0.50%
"Fresenius Medical Care Indiana, LLC",152691,-,"6826 MADISON AVENUE",INDIANAPOLIS,IN,46227,9,19.51%,66.72%,3,96.90%,0.68%,0.366,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.685,0.532,7,0.802,10,8,71,0.00%
"FRESENIUS MEDICAL CARE IRMO",422582,-,"1012 LYKES LANE",IRMO,SC,29063,6,11.33%,60.60%,5,98.86%,0.33%,0.308,10,64.04%,56.27%,82.14%,52.25%,42.66%,56.52%,9,0.7,2.075,10,0.641,10,7,66,0.00%
"FRESENIUS MEDICAL CARE IRVING",452561,-,"1625 NORTH STORY ROAD - SUITE 140",IRVING,TX,75061,14,14.06%,59.84%,4,99.00%,0.04%,0.546,10,72.37%,59.77%,79.20%,56.12%,52.73%,65.17%,4,1.054,0.473,4,1.022,10,1,55,0.50%
"FRESENIUS MEDICAL CARE - JACKSON OAKS",232662,-,"128 N ELM AVE",JACKSON,MI,49202,11,14.58%,69.71%,6,95.51%,1.30%,0,10,58.78%,70.78%,82.05%,54.90%,73.91%,76.43%,4,0.988,1.543,3,1.115,10,4,51,0.50%
"FRESENIUS MEDICAL CARE JOHNSONVILLE",422618,-,"200 STUCKEY ST",JOHNSONVILLE,SC,29555,6,4.98%,68.13%,9,99.23%,1.35%,0.353,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.194,0.526,9,0.673,10,9,75,0.00%
"Fresenius Medical Care Jonesboro, LLC",112897,-,"8060 SUMMIT BUSINESS PARKWAY",JONESBORO,GA,30236,6,5.53%,70.48%,9,99.11%,0.57%,0.294,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.03,0.3,4,1.018,10,8,73,0.00%
"FRESENIUS MEDICAL CARE KATY",672774,-,"21755 PROVINCIAL BLVD",KATY,TX,77450,14,22.14%,55.29%,1,96.59%,0.72%,0.323,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.18,0.935,5,0.949,10,1,48,0.50%
"FRESENIUS MEDICAL CARE KAUFMAN",452794,-,"2213 OLD KEMP HIGHWAY",KAUFMAN,TX,75142,14,3.64%,47.56%,5,97.78%,0.24%,0.407,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.276,0.475,1,1.198,10,3,50,0.50%
"FRESENIUS MEDICAL CARE KELLER, LLC",742548,-,"3700 N TARRANT PKWY","FORT WORTH",TX,76177,14,0.00%,66.84%,8,100.00%,"No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate","No Score","No Score","No Score",0.00%
"FRESENIUS MEDICAL CARE KIEST STATION",672564,-,"5148 SOUTH LANCASTER, SUITE B",DALLAS,TX,75241,14,12.45%,49.22%,3,97.00%,1.29%,0.582,10,60.76%,43.49%,63.00%,50.62%,39.71%,34.57%,7,0.785,1.421,7,0.847,10,3,48,0.50%
"Fresenius Medical Care Kingwood, LLC",672847,-,"9767 FM 1960 BYPASS RD W",HUMBLE,TX,77338,14,26.88%,54.03%,2,94.01%,0.95%,0.424,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.821,1.08,0,1.42,10,0,46,0.50%
"FRESENIUS MEDICAL CARE KOKE MILL LLC",142819,-,"2550 S. KOKE MILL ROAD",SPRINGFIELD,IL,62711,10,2.39%,84.08%,10,98.33%,0.72%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.008,1.353,2,1.173,10,"No Score",57,0.00%
"FRESENIUS MEDICAL CARE LAKE LANIER",112743,-,"2565 THOMPSON BRIDGE ROAD",GAINESVILLE,GA,30501,6,17.07%,60.23%,3,98.08%,0.16%,0.219,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.384,0.418,8,0.798,10,6,78,0.00%
"FRESENIUS MEDICAL CARE - LAKEVILLE",242602,-,"17592 DODD BLVD",LAKEVILLE,MN,55044,11,9.71%,69.33%,7,99.22%,0.00%,1.1,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.089,0.991,6,0.883,10,7,63,0.00%
"Fresenius Medical Care Lamesa, LLC",742520,-,"1600 N BRYAN AVE",LAMESA,TX,79331,14,9.63%,46.95%,4,97.30%,0.00%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.685,2.535,5,0.961,10,7,60,0.00%
"FRESENIUS MEDICAL CARE LAMPASAS",672565,-,"1202 CENTRAL TEXAS EXPRESSWAY",LAMPASAS,TX,76550,14,7.27%,70.90%,8,99.39%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.658,0.706,8,0.759,10,9,88,0.00%
"FRESENIUS MEDICAL CARE - LANSING WEST",232679,-,"916 MALL DR E STE 100",LANSING,MI,48917,11,7.28%,70.32%,8,98.69%,0.26%,0.43,10,64.78%,61.34%,85.34%,60.46%,65.73%,72.89%,0,1.43,0.889,5,0.933,10,3,56,0.00%
"FRESENIUS MEDICAL CARE LEXINGTON",422517,-,"131 WHISPERING WINDS DR",LEXINGTON,SC,29072,6,13.03%,53.31%,3,97.50%,0.37%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.941,1.332,7,0.813,10,5,63,0.00%
"Fresenius Medical Care Livingston, LLC",312642,-,"348 EAST NORTHFIELD ROAD",LIVINGSTON,NJ,07039,3,14.14%,69.14%,6,95.57%,0.86%,1.182,10,72.37%,61.29%,83.38%,74.20%,61.91%,60.89%,6,0.868,0.838,10,0.491,10,2,61,0.00%
"Fresenius Medical Care Livingston (Texas), LLC",742514,-,"101 W PARK DR",LIVINGSTON,TX,77351,14,30.55%,50.94%,0,96.79%,3.21%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.859,"No Rate",0,1.274,10,7,25,2.00%
"Fresenius Medical Care Locust Grove LLC",852564,-,"2855-GA-155 S","Locust Grove",GA,30248,6,"No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate","No Score","No Score","No Score",0.00%
"Fresenius Medical Care Loganville, LLC",112755,-,"3431 HWY 81 S",LOGANVILLE,GA,30052,6,8.33%,66.62%,7,94.38%,0.67%,1.516,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.326,1.31,2,1.158,10,4,36,1.00%
"Fresenius Medical Care Londonderry",302510,-,"1F COMMON DRIVE",LONDONDERRY,NH,03053,1,13.67%,64.33%,5,97.60%,0.55%,0.359,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,1.011,0.524,2,1.136,10,6,60,0.00%
"Fresenius Medical Care Low Country Home Dialysis",422658,-,"1980 N MAIN ST",SUMMERVILLE,SC,29483,6,"No Rate","No Rate","No Score",95.82%,0.52%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.926,0.276,6,0.914,10,"No Score",69,0.00%
"FRESENIUS MEDICAL CARE LOWER RICHLAND",422564,-,"1840 PINEVIEW DRIVE",COLUMBIA,SC,29209,6,6.43%,46.96%,5,95.63%,0.64%,1.351,10,72.82%,55.09%,78.45%,54.85%,32.26%,43.67%,5,0.98,1.726,6,0.869,10,5,43,1.00%
"FRESENIUS MEDICAL CARE LUBBOCK",452568,-,"2710 AVENUE Q",LUBBOCK,TX,79411,14,8.64%,56.50%,5,98.58%,0.15%,0.438,10,74.63%,70.54%,83.76%,70.18%,81.38%,83.02%,4,1.031,1.215,6,0.927,10,5,65,0.00%
"FRESENIUS MEDICAL CARE - MADISON CAPITOL",522602,-,"2840 INDEX ROAD",Fitchburg,WI,53713,11,20.53%,64.07%,3,96.62%,0.78%,0.34,10,56.84%,56.51%,77.71%,58.79%,62.99%,70.44%,9,0.658,0.556,4,1.036,10,5,58,0.00%
"FRESENIUS MEDICAL CARE MADRAS DIALYSIS",382573,-,"1077 SW HIGHWAY 97",MADRAS,OR,97741,16,12.63%,65.37%,6,97.62%,0.39%,0.335,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.47,0.891,6,0.9,10,5,73,0.00%
"FRESENIUS MEDICAL CARE - MANITOWOC",522594,-,"3711 DEWEY ST",MANITOWOC,WI,54220,11,24.12%,53.87%,3,98.86%,0.00%,0.238,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.384,0.297,10,0.649,10,7,84,0.00%
"Fresenius Medical Care Manning",422537,-,"3701 SUMTER HWY",MANNING,SC,29102,6,14.20%,38.13%,2,98.12%,0.00%,0.827,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.564,0.197,10,0.66,10,4,77,0.00%
